<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       7    3.053631e+00    0.000e+00    6.264e+02
    1      26    6.575247e-01    0.000e+00    1.533e+02    9.535e-03
    2      40    5.430799e-01    0.000e+00    2.564e+01    2.200e-03
    3      50    5.276143e-01    0.000e+00    2.778e+01    1.172e-03
    4      61    5.137186e-01    0.000e+00    1.108e+01    1.088e-03
    5      69    4.999932e-01    0.000e+00    1.368e+01    5.791e-03
    6      80    4.812418e-01    0.000e+00    6.336e+01    1.038e-02
    7      88    4.532325e-01    0.000e+00    4.234e+01    1.754e-02
    8      98    4.057397e-01    0.000e+00    7.216e+01    6.048e-02
    9     106    8.547321e-02    0.000e+00    1.087e+01    2.075e-01
   10     113    4.954570e-02    0.000e+00    6.530e+00    3.924e-02
   11     120    3.702843e-02    0.000e+00    3.986e+00    2.015e-02
   12     129    3.814574e-02    0.000e+00    2.845e+00    2.682e-03
   13     136    3.601214e-02    0.000e+00    5.783e-01    2.936e-03
   14     143    3.608224e-02    0.000e+00    3.273e+00    2.789e-03
   15     150    3.417733e-02    0.000e+00    2.994e+00    3.613e-03
   16     157    2.086609e-02    0.000e+00    9.747e+00    4.789e-02
   17     164    2.403810e-02    0.000e+00    5.946e+00    1.843e-02
   18     172    2.454599e-02    0.000e+00    1.925e+00    3.647e-03
   19     179    2.523447e-02    0.000e+00    6.613e+00    1.688e-02
   20     186    2.552405e-02    0.000e+00    1.400e+01    3.400e-02
   21     196    2.563191e-02    0.000e+00    1.884e+01    2.042e-02
   22     203    8.747016e-03    0.000e+00    7.145e+00    1.908e-02
   23     210    9.879463e-03    0.000e+00    3.434e+00    3.361e-02
   24     218    1.343097e-02    0.000e+00    7.044e+00    4.851e-02
   25     225    1.153271e-02    0.000e+00    3.132e+00    1.550e-02
   26     240    1.183693e-02    0.000e+00    1.695e+00    2.136e-03
   27     247    1.232351e-02    0.000e+00    3.322e+00    2.856e-03
   28     254    9.638233e-03    0.000e+00    1.724e+00    8.668e-03
   29     261    1.056632e-02    0.000e+00    1.617e+00    4.252e-03
   30     268    1.051711e-02    0.000e+00    5.636e-01    1.366e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31     276    1.027406e-02    0.000e+00    3.895e+00    6.296e-03
   32     289    9.502341e-03    0.000e+00    3.662e+00    3.318e-03
   33     297    8.510810e-03    0.000e+00    5.598e-01    2.765e-03
   34     307    8.354380e-03    0.000e+00    8.232e-01    7.764e-04
   35     314    1.093370e-02    0.000e+00    1.502e+00    9.977e-03
   36     321    9.349618e-03    0.000e+00    3.215e-01    5.461e-03
   37     328    9.394667e-03    0.000e+00    1.403e-01    3.372e-04
   38     335    9.409416e-03    0.000e+00    4.613e-01    2.645e-04
   39     344    9.368525e-03    0.000e+00    2.898e+00    2.958e-03
