<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       6    2.031677e+02    0.000e+00    4.230e+04
    1      23    2.065229e+01    0.000e+00    6.892e+03    1.741e-02
    2      30    1.101321e+01    0.000e+00    5.896e+03    6.310e-03
    3      42    1.070401e+01    0.000e+00    1.023e+04    8.734e-03
    4      53    6.157181e+00    0.000e+00    6.231e+02    4.367e-03
    5      62    6.022116e+00    0.000e+00    1.256e+03    7.670e-04
    6      72    5.688188e+00    0.000e+00    1.806e+02    8.872e-04
    7      79    5.429045e+00    0.000e+00    6.048e+02    6.181e-04
    8      89    5.029410e+00    0.000e+00    2.826e+03    3.070e-03
    9      96    4.806957e+00    0.000e+00    4.026e+03    1.434e-03
   10     105    3.358339e+00    0.000e+00    4.953e+03    2.167e-02
   11     116    2.585361e+00    0.000e+00    1.132e+03    1.337e-03
   12     122    2.514007e+00    0.000e+00    2.672e+02    1.070e-01
   13     130    2.458621e+00    0.000e+00    4.259e+02    9.892e-02
   14     138    2.452829e+00    0.000e+00    2.080e+03    1.475e-01
   15     151    2.389546e+00    0.000e+00    6.295e+02    9.289e-04
   16     162    2.373869e+00    0.000e+00    8.357e+02    4.636e-04
   17     169    2.372554e+00    0.000e+00    2.106e+03    3.996e-04
   18     177    2.297957e+00    0.000e+00    4.841e+02    1.109e-01
   19     184    2.016950e+00    0.000e+00    1.997e+03    3.312e-01
   20     191    1.873797e+00    0.000e+00    3.906e+02    2.801e-01
   21     198    1.805397e+00    0.000e+00    1.930e+02    2.889e-01
   22     205    1.809087e+00    0.000e+00    5.948e+02    2.463e-01
   23     211    1.638696e+00    0.000e+00    9.870e+02    3.644e-02
   24     224    1.636528e+00    0.000e+00    3.242e+02    7.205e-05
   25     231    1.636486e+00    0.000e+00    1.329e+03    6.057e-05
   26     241    1.635123e+00    0.000e+00    6.884e+02    1.439e-04
   27     248    1.634944e+00    0.000e+00    3.723e+02    1.122e-04
   28     258    1.629900e+00    0.000e+00    1.980e+02    8.850e-05
   29     265    1.629768e+00    0.000e+00    3.578e+02    2.072e-04
   30     271    1.629806e+00    0.000e+00    2.637e+02    1.200e-02

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31     277    1.629469e+00    0.000e+00    1.982e+02    2.107e-03
   32     283    1.629338e+00    0.000e+00    1.982e+02    7.689e-04
   33     289    1.628893e+00    0.000e+00    1.454e+02    4.852e-03
   34     299    1.627840e+00    0.000e+00    1.983e+02    2.211e-05
   35     306    1.627775e+00    0.000e+00    1.457e+02    9.512e-03
   36     312    1.623308e+00    0.000e+00    1.465e+02    4.831e-03
   37     318    1.603624e+00    0.000e+00    2.010e+02    8.365e-03
   38     327    1.597670e+00    0.000e+00    4.294e+02    4.892e-03
   39     340    1.597186e+00    0.000e+00    5.940e+02    1.416e-04
   40     350    1.596940e+00    0.000e+00    3.623e+02    1.415e-04
