<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   90     742    6.847979e-04    0.000e+00    3.874e-01    1.218e-05

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91     749    6.731145e-04    0.000e+00    7.653e-01    2.862e-04
   92     756    6.688969e-04    0.000e+00    7.063e-01    3.459e-04
   93     763    6.705848e-04    0.000e+00    1.837e+00    1.434e-03
   94     771    7.990481e-04    0.000e+00    2.817e+00    2.433e-03
   95     778    8.631479e-04    0.000e+00    1.114e+01    1.715e-03
   96     785    6.544021e-04    0.000e+00    3.143e+00    3.157e-03
   97     792    8.381624e-04    0.000e+00    5.692e+00    5.822e-03
   98     799    6.135927e-04    0.000e+00    1.570e+00    3.014e-03
   99     806    5.838743e-04    0.000e+00    1.592e+00    4.732e-04
  100     813    5.579216e-04    0.000e+00    1.873e+00    3.072e-04
  101     821    6.880060e-04    0.000e+00    3.333e+00    2.518e-03
  102     828    5.642577e-04    0.000e+00    2.221e+00    1.523e-03
  103     835    5.858128e-04    0.000e+00    1.842e+00    1.705e-03
  104     842    9.040058e-04    0.000e+00    3.639e+00    4.555e-03
  105     849    6.313772e-04    0.000e+00    2.209e+00    2.974e-03
  106     856    5.985525e-04    0.000e+00    2.681e+00    1.998e-04
  107     866    4.624492e-04    0.000e+00    3.636e-01    1.131e-03
  108     873    4.655727e-04    0.000e+00    6.984e-01    9.935e-04
  109     880    4.591488e-04    0.000e+00    1.002e+00    1.268e-03
  110     887    6.871465e-04    0.000e+00    9.294e+00    7.429e-03
  111     900    9.629614e-04    0.000e+00    4.486e+00    2.943e-03
  112     908    8.550411e-04    0.000e+00    1.784e+00    9.089e-03
  113     915    3.426783e-04    0.000e+00    1.365e+00    1.269e-02
  114     922    2.900696e-04    0.000e+00    1.325e+00    2.626e-03
  115     929    2.522150e-04    0.000e+00    1.437e+00    1.214e-03
  116     936    2.246656e-04    0.000e+00    2.038e+00    2.489e-03
  117     943    2.196751e-04    0.000e+00    9.553e-01    9.921e-04
  118     954    4.986310e-04    0.000e+00    1.467e+00    1.088e-03
  119     962    3.470767e-04    0.000e+00    1.345e+00    2.162e-03
  120     972    3.162135e-04    0.000e+00    1.435e+00    9.979e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  121     979    4.236668e-04    0.000e+00    7.688e-01    5.506e-03
  122     986    2.352862e-04    0.000e+00    1.014e+00    3.066e-03
  123     993    2.168082e-04    0.000e+00    9.287e-01    3.593e-04
  124    1000    2.076537e-04    0.000e+00    1.987e+00    3.886e-04
  125    1007    2.644053e-04    0.000e+00    6.643e+00    1.025e-03
  126    1014    2.490810e-04    0.000e+00    4.669e+00    1.448e-04
  127    1022    2.983481e-04    0.000e+00    3.549e+00    4.926e-04
  128    1029    2.575438e-04    0.000e+00    4.671e-01    1.739e-04
  129    1036    3.027644e-04    0.000e+00    4.933e+00    4.002e-04
  130    1043    3.383499e-04    0.000e+00    5.781e+00    4.421e-04
  131    1051    7.566882e-04    0.000e+00    1.134e+01    2.127e-03
  132    1058    4.495643e-04    0.000e+00    3.847e+00    9.644e-04
  133    1065    5.324118e-04    0.000e+00    2.612e+00    8.375e-04
  134    1072    5.544399e-04    0.000e+00    9.571e-01    4.326e-04
  135    1079    5.432315e-04    0.000e+00    5.280e-01    4.607e-05
  136    1086    5.512404e-04    0.000e+00    1.353e+00    6.132e-05
  137    1093    5.532739e-04    0.000e+00    9.249e-01    2.212e-05
  138    1104    5.606377e-04    0.000e+00    5.961e-01    4.506e-05
  139    1112    5.643147e-04    0.000e+00    4.732e-01    2.680e-05
  140    1119    5.716279e-04    0.000e+00    2.530e+00    7.788e-05
  141    1126    5.639866e-04    0.000e+00    5.363e-01    5.005e-05
  142    1136    5.640959e-04    0.000e+00    3.170e-01    2.328e-05
  143    1153    5.640967e-04    0.000e+00    1.688e-01    5.716e-07
  144    1160    4.000736e-04    0.000e+00    2.361e+00    5.764e-03
  145    1170    3.729801e-04    0.000e+00    5.044e+00    1.977e-03
  146    1177    3.448133e-04    0.000e+00    8.620e-01    1.460e-04
  147    1184    3.295556e-04    0.000e+00    9.555e-01    2.261e-04
  148    1191    3.124649e-04    0.000e+00    2.073e+00    2.651e-04
  149    1198    1.910725e-04    0.000e+00    7.836e+00    1.311e-03
  150    1205    1.610120e-04    0.000e+00    7.140e-01    4.098e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  151    1212    1.379479e-04    0.000e+00    5.316e+00    6.863e-04
  152    1219    1.129579e-04    0.000e+00    2.765e+00    3.770e-04
  153    1226    1.008495e-04    0.000e+00    1.465e+00    8.016e-05
  154    1233    1.029607e-04    0.000e+00    1.433e+00    1.528e-04
  155    1240    1.021570e-04    0.000e+00    1.340e+00    1.871e-05
