<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   90     680    1.070797e-02    0.000e+00    2.234e+01    4.738e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91     688    1.072277e-02    0.000e+00    1.567e+01    9.233e-04
   92     694    1.072737e-02    0.000e+00    1.827e+01    3.459e-04
   93     700    1.068588e-02    0.000e+00    1.569e+01    6.726e-04
   94     706    1.064014e-02    0.000e+00    1.567e+01    6.109e-04
   95     714    1.043874e-02    0.000e+00    1.556e+01    3.830e-03
   96     720    1.049121e-02    0.000e+00    1.822e+01    1.631e-03
   97     726    1.049202e-02    0.000e+00    1.563e+01    4.429e-04
   98     732    1.037989e-02    0.000e+00    1.677e+01    1.307e-03
   99     738    1.040916e-02    0.000e+00    4.897e+00    7.164e-03
  100     744    9.583179e-03    0.000e+00    1.558e+01    2.244e-03
  101     756    9.456173e-03    0.000e+00    4.737e-01    2.560e-04
  102     763    9.318277e-03    0.000e+00    1.255e+01    1.653e-03
  103     772    8.916362e-03    0.000e+00    1.407e+01    6.544e-03
  104     778    8.798088e-03    0.000e+00    5.195e+00    2.014e-03
  105     784    8.823923e-03    0.000e+00    1.300e+01    2.832e-03
  106     790    9.015671e-03    0.000e+00    1.531e+01    8.649e-03
  107     796    8.886996e-03    0.000e+00    1.534e+01    4.792e-03
  108     802    8.863007e-03    0.000e+00    1.534e+01    2.798e-04
  109     808    8.790347e-03    0.000e+00    1.700e+01    5.731e-05
  110     814    8.347566e-03    0.000e+00    1.524e+01    2.535e-04
  111     820    7.473242e-03    0.000e+00    9.892e+00    1.279e-03
  112     826    7.355522e-03    0.000e+00    1.607e+01    7.340e-04
  113     832    7.324551e-03    0.000e+00    1.278e+01    3.822e-04
  114     850    7.324096e-03    0.000e+00    1.554e+00    3.263e-06
  115     856    7.317833e-03    0.000e+00    5.736e+00    1.377e-04
  116     862    7.189301e-03    0.000e+00    7.997e+00    1.743e-03
  117     868    6.481776e-03    0.000e+00    7.219e+00    5.209e-03
  118     874    6.031763e-03    0.000e+00    5.944e-01    4.609e-03
  119     880    5.804780e-03    0.000e+00    1.582e+00    2.880e-03
  120     886    5.858553e-03    0.000e+00    6.308e+00    1.030e-03

